gid,year_2016,year_2017,year_2020
10-299,12.85,4.05,10.05
10-316,9.85,0.45,7.43
10-317,9.85,0.45,7.43
10-318a,9.85,0.45,7.43
10-318b,10.16,0.75,8.01
10-318c,10.16,0.75,8.01
10-318d,10.16,0.75,8.01
10-320,10.16,0.75,8.01
10-321,10.16,0.75,8.01
10-322,10.39,0.91,8.12
10-323,10.39,0.91,8.12
10-324,10.39,0.91,8.12
10-325,10.57,1.25,8.44
10-326,10.58,1.83,8.71
10-327,10.65,1.37,8.47
10-328,10.20,0.60,8.04
10-329,10.20,0.60,8.04
10-330,10.10,0.45,7.66
10-331,10.83,1.35,8.63
10-332,10.29,0.30,7.99
10-333,10.29,0.30,7.99
10-334,10.85,0.75,8.68
10-335,11.05,1.05,8.64
10-336,11.30,1.52,8.96
10-337,11.84,2.71,9.48
10-338,12.09,3.37,9.77
10-339,10.87,0.60,8.49
10-340,10.87,0.60,8.49
10-341,11.43,1.19,8.67
10-342,10.76,0.61,8.08
10-343a,11.35,0.74,8.57
10-343b,11.35,0.74,8.57
10-344,11.53,0.92,8.51
10-348,11.63,6.10,9.99
10-349,9.33,4.57,9.44
10-350,8.49,4.69,9.32
10-351,12.94,5.29,10.51
10-352,11.47,5.54,10.05
10-353,12.85,4.05,10.05
10-354,11.40,5.25,10.06
10-355,11.93,5.51,10.25
10-356,10.50,5.23,9.82
10-357,11.57,5.39,10.10
10-358,11.96,5.05,10.28
10-359,10.32,4.62,9.68
10-360,12.71,4.84,10.15
10-361,10.97,5.25,9.86
10-362,12.89,3.98,10.08
10-363,12.89,3.98,10.08
10-364,12.89,3.98,10.08
10-365,13.17,4.07,9.99
10-366,12.86,4.01,10.01
10-367,12.09,4.76,10.29
10-368,12.73,4.54,10.18
10-369,12.86,4.01,10.01
10-370,12.90,3.65,9.96
10-371,12.90,3.65,9.96
10-372,12.88,3.47,9.68
10-373,12.95,3.50,9.67
10-374,12.09,4.76,10.29
10-375a,12.24,4.57,10.25
10-375b,11.53,4.59,10.05
10-376,12.95,3.50,9.67
10-378,9.69,4.77,9.56
10-381,6.58,2.90,2.84
10-382,4.34,4.04,5.38
10-384,6.66,3.27,3.01
10-385,6.66,3.27,3.01
10-386,6.66,3.27,3.01
10-387,7.05,3.92,8.76
10-389,6.66,3.27,3.01
10-390,6.66,3.27,3.01
10-391,6.30,3.25,3.48
10-392,6.34,4.06,7.66
10-393,4.92,3.57,6.07
10-394,8.57,4.72,9.37
10-395,5.89,4.12,7.21
10-396,5.03,4.03,6.19
10-397,4.52,3.95,4.91
10-398,6.30,3.25,3.48
10-399,6.30,3.25,3.48
10-400,6.30,3.25,3.48
10-401,4.78,4.48,5.49
10-402,8.02,4.06,4.26
10-403,6.14,3.66,3.55
10-404,4.78,4.48,5.49
10-405,5.11,4.58,6.03
10-406,8.02,4.06,4.26
10-407a,6.30,3.90,3.93
10-407b,6.30,3.90,3.93
10-408,6.80,4.40,7.80
10-409,5.56,4.77,6.83
10-410,5.55,4.83,6.29
10-411,9.77,5.20,9.73
10-411b,8.05,5.03,9.20
10-412,7.74,4.13,4.60
10-413,8.05,5.03,9.20
10-414,7.91,4.44,4.26
10-415,8.73,4.65,9.38
10-416a,7.83,4.71,4.30
10-416b,7.83,4.71,4.30
10-417,10.21,5.09,9.75
10-418a,7.83,4.71,4.30
10-418b,7.83,4.71,4.30
10-419a,8.23,4.57,4.75
10-419b,8.23,4.57,4.75
10-420,6.48,4.02,4.63
10-421,12.24,4.57,10.25
10-422,12.72,3.53,9.87
10-423,6.91,4.61,7.85
10-424,5.55,4.83,6.29
10-425,9.69,4.77,9.56
10-426,7.83,4.71,4.30
10-427,9.69,4.77,9.56
10-428a,6.14,3.66,3.55
10-428b,8.02,4.06,4.26
10-430,9.85,0.45,7.43
10-431,10.10,0.45,7.66
10-432,10.29,0.30,7.99
10-434,10.20,0.60,8.04
10-436,11.57,5.39,10.10
10-437,11.14,5.11,10.02
10-438,8.73,4.65,9.38
10-439,7.92,4.58,8.97
10-440,6.39,4.69,7.31
10-441,6.83,4.82,7.60
10-442,6.39,4.78,7.26
10-443,6.66,3.27,3.01
10-444,7.91,4.44,4.26
10-445,7.91,4.44,4.26
10-800,11.05,1.05,8.64
10-801,11.42,0.60,8.42
10-807,6.58,2.90,2.84
11-001,12.06,3.41,9.25
11-002,11.96,0.95,8.67
11-003,12.14,1.25,8.61
11-004,11.88,1.58,8.37
11-005,11.88,1.58,8.37
11-006,11.88,1.58,8.37
11-007,11.31,1.88,8.15
11-008,11.31,1.88,8.15
11-009,11.56,2.27,8.30
11-010,12.02,2.94,9.31
11-011a,11.39,2.06,8.30
11-011b,11.39,2.06,8.30
11-012,11.57,2.35,8.70
11-013,11.99,2.94,9.82
11-014,11.73,2.57,9.23
11-015,11.22,2.33,8.28
11-016,12.92,3.65,9.91
11-017,12.60,3.29,9.98
11-018,12.30,3.93,9.97
11-019,11.10,4.43,9.89
11-020,12.30,3.93,9.97
11-021,12.42,3.33,9.73
11-022,11.10,4.43,9.89
11-023,12.05,3.92,9.70
11-024,12.84,3.55,10.02
11-025,12.45,3.68,9.78
11-026,12.35,3.55,9.66
11-027,12.35,3.55,9.66
11-028,11.79,4.09,9.76
11-029,13.03,3.52,9.90
11-030,12.14,3.89,9.61
11-031,13.11,3.37,9.86
11-032,12.02,3.73,9.65
11-033a,12.64,3.69,9.80
11-033b,12.67,3.59,9.90
11-034,12.85,3.74,10.30
11-035,12.48,3.57,10.05
11-036,12.98,3.72,10.06
11-037,12.85,3.71,10.06
11-038,12.53,3.16,9.93
11-039,12.87,3.37,9.95
11-040,12.70,3.49,10.19
11-041a,12.52,3.20,9.81
11-041b,12.52,3.20,9.81
11-042,12.79,3.61,10.25
11-043,12.69,3.39,10.01
11-044,12.78,3.92,9.84
11-045,11.95,4.49,9.77
11-046,12.62,3.53,9.64
11-047,12.62,3.53,9.64
11-048a,12.26,4.66,10.32
11-048b,11.54,5.83,10.10
11-049,12.35,4.42,10.27
11-050,12.45,4.28,9.90
11-051,12.22,3.74,10.00
11-052,12.22,3.74,10.00
11-053,12.22,3.27,9.94
11-054,12.04,4.47,9.85
11-055,11.57,3.71,9.38
11-056a,12.17,6.43,10.46
11-056b,12.20,4.66,10.01
11-056c,12.35,4.42,10.27
11-056d,12.49,5.59,10.26
11-057,12.50,5.88,10.47
11-058,11.82,4.07,9.61
11-059,11.75,4.23,9.98
11-060,11.80,4.07,9.47
11-061,11.57,3.71,9.38
11-062,11.57,3.71,9.38
11-063a,10.78,4.31,9.80
11-063b,9.74,4.36,9.29
11-064,8.52,5.01,8.92
11-065,10.18,4.60,9.50
11-066,8.59,5.46,9.09
11-067,10.99,4.82,9.64
11-068,10.31,4.51,9.53
11-069,8.02,5.24,8.39
11-070a,8.52,6.33,8.25
11-070b,8.88,5.83,9.32
11-070c,7.96,5.80,7.44
11-071,11.52,4.37,9.57
11-072,8.16,5.38,4.73
11-073,8.95,5.70,4.92
11-074,8.16,5.38,4.73
11-075,8.16,5.38,4.73
11-076,8.72,5.72,5.02
11-077,8.72,5.72,5.02
11-078,8.72,5.72,5.02
11-079,11.62,5.39,9.62
11-080,9.86,6.09,9.39
11-081,8.72,5.72,5.02
11-082,8.78,6.19,4.88
11-083,8.78,6.19,4.88
11-084,8.78,6.19,4.88
11-085,8.78,6.19,4.88
11-087a,8.40,5.92,5.86
11-087b,8.78,6.19,4.88
11-088,8.78,6.19,4.88
11-089a,8.78,6.19,4.88
11-089b,8.78,6.19,4.88
11-090,10.95,5.89,9.59
11-091,8.84,6.43,5.50
11-092,9.38,6.67,9.46
11-093,9.23,7.14,8.95
11-094,8.84,6.43,5.50
11-095,8.84,6.43,5.50
11-096,8.84,6.43,5.50
11-097,8.84,6.43,5.50
11-098,9.23,7.14,8.95
11-099,11.71,6.40,10.43
11-100,9.02,7.00,8.80
11-101,12.03,7.31,10.87
11-102,8.85,6.79,5.75
11-103,11.26,7.58,10.36
11-104,9.90,7.36,9.41
11-105,8.54,6.27,6.50
11-107,9.50,7.64,6.07
11-108,8.54,6.27,6.50
11-109a,8.54,6.27,6.50
11-109b,8.54,6.27,6.50
11-110,8.53,6.30,6.86
11-111,12.03,7.31,10.87
11-112,6.48,4.02,4.63
11-113,8.23,4.57,4.75
11-114,8.23,4.57,4.75
11-115,8.00,4.42,4.87
11-116,8.00,4.42,4.87
11-117,8.42,4.64,5.17
11-118a,8.42,4.64,5.17
11-118b,8.42,4.64,5.17
11-119,9.26,5.13,5.29
11-120,9.15,5.21,5.38
11-121,8.49,5.30,4.85
11-122,8.71,5.51,4.53
11-123,9.12,5.76,5.09
11-124,9.12,5.76,5.09
11-125,9.44,6.21,5.01
11-126a,8.95,5.70,4.92
11-126b,8.95,5.70,4.92
11-127a,8.95,5.70,4.92
11-127b,8.95,5.70,4.92
11-128,8.95,5.70,4.92
11-129,8.95,5.70,4.92
11-130,9.38,7.53,5.42
11-131,10.16,8.75,6.21
11-132,11.78,3.25,7.94
11-133,11.57,2.79,7.85
11-134,11.36,2.79,7.69
11-135,11.31,2.95,7.26
11-136,11.48,3.13,8.35
11-137,11.55,3.74,8.18
11-138,11.16,4.08,8.39
11-139,11.37,4.56,7.96
11-140,11.42,4.58,7.27
11-141,11.37,4.72,7.89
11-142,11.37,4.72,7.89
11-143,11.37,4.56,7.96
11-144,11.42,4.58,7.27
11-145,11.42,4.58,7.27
11-146,11.37,4.72,7.89
11-147,11.39,4.77,7.41
11-148,11.79,4.84,7.56
11-149,11.79,4.84,7.56
11-150,11.39,4.77,7.41
11-151,11.66,5.13,7.66
11-152,11.73,4.70,7.42
11-153,11.66,5.13,7.66
11-154,11.37,4.23,9.48
11-155,11.36,4.69,10.01
11-156,11.46,4.12,9.08
11-157,11.62,7.88,10.91
11-158,11.18,4.69,9.94
11-159,11.11,4.83,10.03
11-160,12.02,7.01,10.57
11-161,11.46,4.12,9.08
11-162,11.38,5.60,10.15
11-163,11.60,7.85,10.88
11-164,11.46,6.99,10.65
11-165,11.05,5.16,9.92
11-166,10.96,4.76,9.94
11-167,11.37,4.57,8.89
11-168,10.91,4.63,9.80
11-169,11.37,4.57,8.89
11-170,11.01,4.94,9.63
11-171,10.97,5.18,10.03
11-172,11.56,4.90,8.31
11-173,10.90,6.39,10.38
11-174,11.05,5.17,9.78
11-175,11.05,5.17,9.78
11-176,11.18,5.06,9.19
11-177,11.31,5.20,8.97
11-178,10.50,5.40,9.60
11-179,10.49,6.25,9.61
11-180,10.50,5.40,9.60
11-181,10.88,4.80,9.34
11-182,10.88,4.80,9.34
11-183,10.88,4.80,9.34
11-184a,10.49,6.25,9.61
11-184b,10.15,7.10,9.59
11-184c,10.00,7.50,9.07
11-185,10.48,4.71,9.27
11-186,10.48,4.71,9.27
11-187,10.48,4.71,9.27
11-188,10.48,4.71,9.27
11-189,10.48,4.71,9.27
11-190a,10.93,4.66,9.40
11-190b,10.93,4.66,9.40
11-190c,10.93,4.66,9.40
11-191,10.48,4.71,9.27
11-192,10.48,4.71,9.27
11-193a,10.48,4.71,9.27
11-193b,10.48,4.71,9.27
11-194,10.93,4.66,9.40
11-195,10.93,4.66,9.40
11-196,9.56,7.45,6.33
11-197,8.67,6.62,7.21
11-200,11.04,7.82,10.41
11-201,8.67,6.62,7.21
11-202,8.67,6.62,7.21
11-203,8.67,6.62,7.21
11-204,8.92,7.07,7.22
11-205,8.98,6.50,6.64
11-206,9.56,7.45,6.33
11-207,8.98,6.50,6.64
11-208a,8.92,7.07,7.22
11-208b,8.92,7.07,7.22
11-209,8.92,7.07,7.22
11-210a,8.92,7.07,7.22
11-210b,8.92,7.07,7.22
11-211,9.93,8.32,9.70
11-212,8.92,7.07,7.22
11-213,11.60,7.85,10.88
11-214,10.19,8.52,10.02
11-215,9.30,7.50,7.47
11-216,10.61,8.69,11.05
11-217,11.41,8.07,10.81
11-218,9.90,7.82,7.12
11-219,9.55,8.73,7.52
11-220,9.55,8.73,7.52
11-221,9.37,9.31,7.55
11-222a,10.00,8.38,10.51
11-222b,8.76,8.22,9.68
11-223,9.73,9.55,7.69
11-224,9.73,9.55,7.69
11-225,9.73,9.55,7.69
11-226,9.64,9.58,7.33
11-227,9.64,9.58,7.33
11-228,11.73,11.05,8.04
11-229a,9.64,9.58,7.33
11-229b,9.03,8.93,7.40
11-230,8.92,8.79,7.16
11-231,8.92,8.79,7.16
11-232,8.92,8.79,7.16
11-233,9.28,7.79,9.34
11-234,8.58,8.07,8.60
11-235,8.92,8.79,7.16
11-236,8.92,8.79,7.16
11-237a,8.79,7.99,8.78
11-237b,8.11,8.02,7.52
11-237c,8.33,7.95,7.52
11-238,9.91,9.56,6.75
11-239,9.90,9.10,6.68
11-240,11.89,12.01,7.92
11-241,9.90,9.10,6.68
11-242,11.05,10.85,7.10
11-243,10.20,9.17,7.34
11-244a,10.78,10.32,8.36
11-244b,12.55,13.28,9.12
11-244c,11.39,10.57,8.11
11-244d,11.10,10.09,8.62
11-245,9.83,8.24,6.84
11-246,10.93,4.66,9.40
11-247,11.54,4.37,9.79
11-248,12.62,3.53,9.64
11-249,11.52,5.71,10.27
11-250,12.49,5.59,10.26
11-251,11.70,5.97,10.22
11-252,12.50,5.88,10.47
11-253,12.02,3.73,9.65
11-254,11.79,4.09,9.76
11-255,12.54,6.60,10.77
11-256,10.19,8.52,10.02
11-257,10.42,7.06,9.89
11-258,10.35,8.36,10.08
11-259,9.93,8.32,9.70
11-260,8.65,7.96,8.77
11-261,8.55,8.11,8.49
11-262,9.02,7.00,8.80
11-263,8.52,6.33,8.25
11-264,8.75,8.44,8.07
11-265,9.01,7.61,8.95
11-266,8.75,8.44,8.07
11-267,8.75,8.44,8.07
11-268,8.75,8.44,8.07
11-269,8.45,6.35,7.71
11-270,8.20,5.78,7.83
11-271,7.45,5.15,7.10
11-272,9.03,8.93,7.40
11-273,9.13,8.66,6.69
11-274,8.67,6.62,7.21
11-275,7.78,5.48,6.50
11-276,9.37,9.31,7.55
11-277,7.41,4.97,6.06
11-278,9.37,9.31,7.55
11-279,9.37,9.31,7.55
11-280,9.73,9.55,7.69
11-281,9.30,7.50,7.47
11-282,8.67,6.62,7.21
11-283,9.30,7.50,7.47
11-284,8.92,7.07,7.22
11-285,8.92,7.07,7.22
11-286,9.13,7.27,6.58
11-287,9.47,7.99,6.48
11-288,11.10,10.09,8.62
11-289,8.78,6.19,4.88
11-290,8.85,6.79,5.75
11-291,8.72,5.72,5.02
11-292,8.72,5.72,5.02
11-293,8.78,6.19,4.88
11-294,8.78,6.19,4.88
11-295,8.72,5.72,5.02
11-296,8.72,5.72,5.02
11-297,9.05,6.02,4.88
11-298,9.05,6.02,4.88
11-299,8.95,5.70,4.92
11-300,8.42,4.64,5.17
11-301,9.05,6.02,4.88
11-302,9.05,6.02,4.88
11-303,11.95,11.35,8.58
11-304,9.05,6.02,4.88
11-305,8.95,5.70,4.92
11-306,9.05,6.02,4.88
11-307,9.05,6.02,4.88
11-308,8.95,5.70,4.92
11-309,9.05,6.02,4.88
11-310,11.95,11.35,8.58
11-311,11.95,11.35,8.58
11-312,8.95,5.70,4.92
11-313,9.44,6.21,5.01
11-314,9.04,4.90,4.87
11-315,12.90,3.66,9.96
11-316,10.62,4.47,9.66
11-317,7.78,4.70,8.46
11-318,7.78,4.70,8.46
11-319,7.78,4.70,8.46
11-320,7.15,4.64,7.82
11-321,6.99,5.28,7.63
11-322,6.99,5.28,7.63
11-323,6.55,4.81,6.95
11-324,9.04,4.90,4.87
11-800,11.31,2.63,8.19
12-001,10.18,5.25,8.94
12-002,10.37,5.04,8.81
12-003a,9.10,6.51,7.55
12-003b,9.94,5.86,7.91
12-003c,9.42,5.98,7.46
12-003d,7.50,6.48,6.14
12-004,10.37,5.04,8.81
12-005,10.90,5.59,8.19
12-006,10.80,5.68,8.41
12-007,9.94,5.86,7.91
12-008,11.40,5.37,7.89
12-009,11.43,5.78,7.99
12-010,10.71,5.84,7.18
12-011,10.85,5.50,7.56
12-012,10.86,6.02,7.37
12-013,10.71,5.84,7.18
12-014,10.69,5.91,7.24
12-015,11.64,5.92,7.88
12-016a,9.37,6.20,6.30
12-016b,9.35,6.03,6.48
12-016c,8.35,6.45,6.12
12-017,11.38,5.99,7.86
12-018,11.38,5.99,7.86
12-019,10.46,6.04,7.12
12-020,9.93,6.61,6.64
12-021,10.97,6.30,7.54
12-022,10.97,6.30,7.54
12-023,11.14,6.17,7.55
12-024,8.52,6.37,5.43
12-025,11.25,6.78,7.60
12-026,9.99,6.59,6.64
12-027,8.55,6.19,5.56
12-027a,8.60,6.62,5.54
12-027c,7.66,5.81,4.45
12-028,11.05,10.85,7.10
12-029,11.05,10.85,7.10
12-030,7.42,6.65,5.99
12-031,10.92,10.94,7.17
12-032,12.03,11.75,7.57
12-033,8.93,7.89,6.11
12-034,9.73,8.75,6.45
12-035,9.73,8.75,6.45
12-036,8.93,7.89,6.11
12-037,12.03,11.67,7.82
12-038a,11.05,10.70,7.13
12-038b,11.05,10.70,7.13
12-038c,11.05,10.70,7.13
12-039,9.01,7.53,5.88
12-040,9.01,7.53,5.88
12-041,8.38,6.74,7.97
12-042,9.01,7.53,5.88
12-043a,8.87,7.70,5.73
12-043b,8.87,7.70,5.73
12-044,7.99,7.42,5.58
12-045,7.99,7.42,5.58
12-046,8.43,7.73,5.71
12-047,7.99,7.42,5.58
12-048,7.99,7.42,5.58
12-049,8.39,8.28,5.91
12-050,8.39,8.28,5.91
12-051,8.06,7.21,5.59
12-052a,9.71,9.48,6.77
12-052b,8.39,8.28,5.91
12-053,8.39,8.28,5.91
12-054,9.71,9.48,6.77
12-055a,9.71,9.48,6.77
12-055b,9.71,9.48,6.77
12-056,9.47,9.63,6.93
12-057,6.83,6.18,4.23
12-058,8.94,8.63,6.43
12-059,8.40,7.25,4.75
12-060,6.69,5.07,3.76
12-061,8.40,7.25,4.75
12-062,7.65,5.84,3.71
12-063,8.65,6.99,4.85
12-064,6.39,4.43,3.40
12-065,7.11,5.07,3.61
12-066,6.39,4.43,3.40
12-067,9.50,9.03,6.46
12-068,8.65,6.99,4.85
12-069,8.76,7.66,4.98
12-070,8.76,7.66,4.98
12-071,8.76,7.66,4.98
12-072,10.52,7.02,6.63
12-073,11.59,7.13,7.45
12-075,11.15,7.14,7.43
12-076,10.54,7.20,6.76
12-077,10.06,7.49,5.97
12-078,10.06,7.49,5.97
12-080,10.06,7.49,5.97
12-081,11.04,8.04,6.37
12-082,11.04,8.04,6.37
12-083,12.04,8.75,7.13
12-084,12.60,9.63,7.72
12-085,10.63,9.22,6.40
12-086,10.63,9.22,6.40
12-087,12.60,9.63,7.72
12-088,11.96,9.59,7.03
12-089,10.63,9.22,6.40
12-091,12.50,10.26,7.92
12-092,8.92,8.15,5.16
12-093,6.66,5.12,2.87
12-094,8.92,8.15,5.16
12-095,9.05,8.12,5.24
12-096,7.83,6.64,4.75
12-097,9.05,8.12,5.24
12-098,9.05,8.12,5.24
12-099,10.62,11.22,7.52
12-100,8.06,7.54,4.47
12-101,9.31,9.37,6.18
12-102,7.83,6.64,4.75
12-103,9.20,9.39,5.95
12-104,9.20,9.39,5.95
12-105,7.17,6.95,4.38
12-106,7.99,7.70,4.85
12-107,8.95,9.39,5.88
12-108,8.95,9.39,5.88
12-109,8.95,9.39,5.88
12-110,8.51,9.18,5.65
12-111,8.51,9.18,5.65
12-112,7.24,7.70,4.15
12-113,7.84,8.60,4.56
12-114,8.39,9.88,5.89
12-115,7.52,9.01,5.00
12-116,8.39,9.88,5.89
12-118,8.19,9.99,5.77
12-119,7.58,9.37,5.21
12-120,9.80,9.45,6.02
12-121,7.57,9.06,4.57
12-122,7.58,9.37,5.21
12-123,7.82,9.18,4.60
12-124,9.23,9.96,5.45
12-125,10.02,10.10,6.08
12-126,7.71,9.46,4.80
12-127,8.29,10.39,5.36
12-129,7.71,9.46,4.80
12-130,7.66,9.61,4.50
12-131,10.56,10.95,6.17
12-132,10.56,10.95,6.17
12-133,7.77,9.45,4.28
12-134,8.10,10.49,5.52
12-135,8.10,10.49,5.52
12-136,10.56,10.95,6.17
12-137,8.18,10.54,5.67
12-138,9.80,10.30,5.48
12-139,7.30,9.96,4.19
12-141,8.18,10.54,5.67
12-142,7.36,10.25,4.68
12-143,8.18,10.54,5.67
12-144,10.32,11.00,6.29
12-145,8.16,9.97,4.32
12-146,7.30,9.96,4.19
12-148,7.30,9.96,4.19
12-149,8.92,8.15,5.16
12-150,8.43,7.73,5.71
12-151,9.73,8.75,6.45
12-152,9.73,8.75,6.45
12-154,10.92,10.94,7.17
13-001,7.63,10.27,5.77
13-002,9.06,11.92,6.03
13-004,10.69,11.27,6.32
13-005,9.06,11.92,6.03
13-006,8.27,10.46,4.51
13-007,10.69,11.27,6.32
13-008,8.30,10.62,4.74
13-009,9.28,12.08,6.25
13-010a,9.28,12.08,6.25
13-010b,9.28,12.08,6.25
13-011,8.46,11.30,6.34
13-012,9.34,10.83,5.46
13-013,10.33,11.26,6.51
13-014,7.25,10.41,4.31
13-015,9.28,12.08,6.25
13-016a,9.95,13.02,7.19
13-016b,9.95,13.02,7.19
13-017a,9.95,13.02,7.19
13-017b,9.95,13.02,7.19
13-017c,9.95,13.02,7.19
13-019,9.89,11.62,6.12
13-020,9.48,11.51,5.39
13-021,7.14,10.77,5.28
13-022,7.59,10.72,4.67
13-023,7.14,10.77,5.28
13-024,8.31,11.08,5.12
13-025,8.31,11.08,5.12
13-026,7.46,11.05,4.98
13-027,7.47,11.06,6.06
13-028,11.02,13.21,7.84
13-029,9.78,11.61,6.14
13-030,9.47,11.46,5.87
13-031,9.47,11.46,5.87
13-032,7.68,11.19,5.79
13-033,9.44,11.40,6.18
13-034,9.21,11.59,6.39
13-035,8.71,11.21,6.24
13-036,7.37,11.22,5.99
13-037,9.67,11.43,5.71
13-038,7.72,11.11,6.14
13-040,9.67,11.43,5.71
13-041,7.72,11.11,6.14
13-042,9.99,12.00,8.64
13-043,9.86,11.62,7.66
13-045,9.58,11.49,7.11
13-048,7.93,11.21,6.26
13-049,9.08,10.77,5.71
13-050a,10.10,11.30,6.82
13-050b,10.10,11.30,6.82
13-051,9.37,11.64,8.14
13-052,7.99,11.14,5.83
13-053,8.71,11.39,6.77
13-054,9.65,12.02,8.81
13-055,8.31,11.15,6.03
13-056,9.62,11.13,6.05
13-057a,9.65,12.02,8.81
13-057b,9.65,12.02,8.81
13-058a,9.90,12.15,8.86
13-058b,9.90,12.15,8.86
13-059,7.91,11.36,6.23
13-060,8.06,11.19,6.20
13-061a,9.62,11.13,6.05
13-061b,9.17,11.18,6.03
13-061c,9.17,11.18,6.03
13-062,9.90,12.15,8.86
13-063,8.16,10.76,6.18
13-064,8.78,11.75,7.37
13-065,7.99,11.45,6.50
13-066,8.78,11.75,7.37
13-068,8.87,11.83,7.84
13-069,9.93,12.17,9.28
13-070,9.93,12.17,9.28
13-071,8.87,11.83,7.84
13-072,8.04,11.50,6.92
13-073,8.68,10.30,6.13
13-074,9.92,11.39,7.68
13-075,8.74,11.63,8.50
13-076,7.91,10.83,6.80
13-077,6.65,9.95,6.13
13-078,7.17,9.26,6.71
13-079a,7.67,10.66,7.39
13-079b,7.07,10.14,7.06
13-079c,7.17,9.26,6.71
13-080,10.76,12.28,10.41
13-081,7.84,10.85,7.81
13-083,8.72,11.45,8.63
13-084,6.79,10.31,7.12
13-085,10.55,12.33,9.99
13-086,9.36,11.60,9.39
13-087,6.38,10.38,7.06
13-088,6.86,9.63,6.49
13-089,6.69,9.74,6.27
13-091,9.44,11.92,9.56
13-092,11.49,12.88,10.69
13-093a,6.02,9.59,5.84
13-093b,7.21,9.57,5.97
13-093c,7.21,9.57,5.97
13-095,8.49,10.87,8.36
13-096,7.00,9.62,7.10
13-097,7.45,9.66,7.73
13-100,5.91,8.93,5.70
13-101a,9.32,11.33,9.69
13-101b,9.32,11.33,9.69
13-101c,7.98,9.83,8.74
13-102,9.32,11.33,9.69
